item	maxSpeakers	mostRecentTime	iso639_1	iso639_3	itemLabel	itemLabel_en
http://www.wikidata.org/entity/Q7850	1299877520		zh	zho	中文	Chinese
http://www.wikidata.org/entity/Q1860	1132366680	2019-01-01T00:00:00Z	en	eng	English	English
http://www.wikidata.org/entity/Q9192	1074000000	2019-01-01T00:00:00Z		cmn		Mandarin
http://www.wikidata.org/entity/Q1321	485000000	2023-01-01T00:00:00Z	es	spa	español	Spanish
http://www.wikidata.org/entity/Q13955	422000000	2019-01-01T00:00:00Z	ar	ara	العربية	Arabic
http://www.wikidata.org/entity/Q1568	341000000	2019-01-01T00:00:00Z	hi	hin	हिन्दी	Hindi
http://www.wikidata.org/entity/Q9610	300000000	2019-01-01T00:00:00Z	bn	ben	বাংলা	Bangla
http://www.wikidata.org/entity/Q5146	254300000	2019-01-01T00:00:00Z	pt	por	português	Portuguese
http://www.wikidata.org/entity/Q150	208157220	2019-01-01T00:00:00Z	fr	fra	français	French
http://www.wikidata.org/entity/Q9240	198996550	2010-01-01T00:00:00Z	id	ind	bahasa Indonesia	Indonesian
http://www.wikidata.org/entity/Q7737	171428900	2019-01-01T00:00:00Z	ru	rus	русский язык	Russian
http://www.wikidata.org/entity/Q5287	128000000	2019-01-01T00:00:00Z	ja	jpn	日本語	Japanese
http://www.wikidata.org/entity/Q58635	125000000	2021-01-01T00:00:00Z	pa	pan	ਪੰਜਾਬੀ	Punjabi
http://www.wikidata.org/entity/Q188	105000000	2019-01-01T00:00:00Z	de	deu	Deutsch	German
http://www.wikidata.org/entity/Q29919	100542400	2021-01-01T00:00:00Z		arz	اللغه المصريه الحديثه	Egyptian Arabic
http://www.wikidata.org/entity/Q1617	94022900	2019-01-01T00:00:00Z	ur	urd	اردو	Urdu
http://www.wikidata.org/entity/Q33298	90000000			fil		Filipino
http://www.wikidata.org/entity/Q33549	84308740	2019-01-01T00:00:00Z	jv	jav	Jawa	Javanese
http://www.wikidata.org/entity/Q1571	83100000	2019-01-01T00:00:00Z	mr	mar	मराठी	Marathi
http://www.wikidata.org/entity/Q3197533	82300000	2010-01-01T00:00:00Z		swh		Swahili
http://www.wikidata.org/entity/Q256	82231620	2021-01-01T00:00:00Z	tr	tur	Türkçe	Turkish
http://www.wikidata.org/entity/Q8097	82000000	2019-01-01T00:00:00Z	te	tel	తెలుగు	Telugu
http://www.wikidata.org/entity/Q34290	81400000	2019-01-01T00:00:00Z		wuu	吴语	Wu Chinese
http://www.wikidata.org/entity/Q9176	77300000	2019-01-01T00:00:00Z	ko	kor	한국어	Korean
http://www.wikidata.org/entity/Q9237	77000000	2007-01-01T00:00:00Z	ms	msa	bahasa Melayu	Malay
http://www.wikidata.org/entity/Q9199	76000000	2019-01-01T00:00:00Z	vi	vie	tiếng Việt	Vietnamese
http://www.wikidata.org/entity/Q5885	75000000	2019-01-01T00:00:00Z	ta	tam	தமிழ்	Tamil
http://www.wikidata.org/entity/Q7033959	73100000	2019-01-01T00:00:00Z		yue	粵語	Yue Chinese
http://www.wikidata.org/entity/Q9168	70000000	2019-01-01T00:00:00Z	fa	fas	فارسی	Persian
http://www.wikidata.org/entity/Q652	64819790	2019-01-01T00:00:00Z	it	ita	italiano	Italian
http://www.wikidata.org/entity/Q5137	56400000	2019-01-01T00:00:00Z	gu	guj	ગુજરાતી ભાષા	Gujarati
http://www.wikidata.org/entity/Q3513637	52800000	2019-01-01T00:00:00Z		pes		Iranian Persian
http://www.wikidata.org/entity/Q33268	52200000	2019-01-01T00:00:00Z		bho	भोजपुरी	Bhojpuri
http://www.wikidata.org/entity/Q36495	50100000	2019-01-01T00:00:00Z		nan	Bân-lâm-gú	Southern Min
http://www.wikidata.org/entity/Q58680	50000000	2009-01-01T00:00:00Z	ps	pus	پښتو	Pashto
http://www.wikidata.org/entity/Q33375	48200000	2019-01-01T00:00:00Z		hak	Hak-kâ-ngî	Hakka Chinese
http://www.wikidata.org/entity/Q33655	47500000	2020-01-01T00:00:00Z		pcm	Naijá langwej	Nigerian Pidgin
http://www.wikidata.org/entity/Q56479	46900000	2019-01-01T00:00:00Z		cjy		Jinnish
http://www.wikidata.org/entity/Q13201	46000000			rom		Romani
http://www.wikidata.org/entity/Q34057	45000000	2019-01-01T00:00:00Z	tl	tgl	wikang Tagalog	Tagalog
http://www.wikidata.org/entity/Q56593	44000000	2022-01-01T00:00:00Z		apc	اللهجة الشامية	Levantine Arabic
http://www.wikidata.org/entity/Q56475	43900000	2019-01-01T00:00:00Z	ha	hau	Hausa	Hausa
http://www.wikidata.org/entity/Q33673	43600000	2019-01-01T00:00:00Z	kn	kan	ಕನ್ನಡ	Kannada
http://www.wikidata.org/entity/Q56499	42252851	2024-01-01T00:00:00Z		arq	الدارجة الجزائرية	Algerian Arabic
http://www.wikidata.org/entity/Q809	40200000	2019-01-01T00:00:00Z	pl	pol	język polski	Polish
http://www.wikidata.org/entity/Q9217	40000000	2019-01-01T00:00:00Z	th	tha	ภาษาไทย	Thai
http://www.wikidata.org/entity/Q34311	40000000	2019-01-01T00:00:00Z	yo	yor	Èdè Yorùbá	Yoruba
http://www.wikidata.org/entity/Q13220	37300000	2019-01-01T00:00:00Z		hsn		Xiang Chinese
http://www.wikidata.org/entity/Q36236	37100000	2019-01-01T00:00:00Z	ml	mal	മലയാളം	Malayalam
http://www.wikidata.org/entity/Q33864	36000000	2007-01-01T00:00:00Z	om	orm	Afaan Oromoo	Oromo
http://www.wikidata.org/entity/Q13196	36000000	2001-01-01T00:00:00Z		raj		Rajasthani
http://www.wikidata.org/entity/Q9292	35000000	2007-01-01T00:00:00Z	az	aze	Azərbaycan dili	Azerbaijani
http://www.wikidata.org/entity/Q8798	34710100	2023-01-01T00:00:00Z	uk	ukr	українська мова	Ukrainian
http://www.wikidata.org/entity/Q33810	34500000	2019-01-01T00:00:00Z	or	ory	ଓଡ଼ିଆ	Odia
http://www.wikidata.org/entity/Q36109	33900000	2019-01-01T00:00:00Z		mai	मैथिली भाषा	Maithili
http://www.wikidata.org/entity/Q9228	32900000	2019-01-01T00:00:00Z	my	mya	မြန်မာဘာသာ	Burmese
http://www.wikidata.org/entity/Q34002	32400000	2019-01-01T00:00:00Z	su	sun	Sunda	Sundanese
http://www.wikidata.org/entity/Q56573	31900000	2019-01-01T00:00:00Z		apd		Sudanese Arabic
http://www.wikidata.org/entity/Q56426	27500000	2019-01-01T00:00:00Z		ary	الداريجة لمغريبية	Moroccan Darija
http://www.wikidata.org/entity/Q33578	27000000	2019-01-01T00:00:00Z	ig	ibo	Asụ̀sụ̀ Ìgbò	Igbo
http://www.wikidata.org/entity/Q9264	27000000	2015-01-01T00:00:00Z	uz	uzb	Oʻzbek tili	Uzbek
http://www.wikidata.org/entity/Q1066766	26912410	2021-01-01T00:00:00Z		uzn		Northern Uzbek
http://www.wikidata.org/entity/Q28244	25000000	2019-01-01T00:00:00Z	am	amh	አማርኛ	Amharic
http://www.wikidata.org/entity/Q33997	25000000	2019-01-01T00:00:00Z	sd	snd	سنڌي	Sindhi
http://www.wikidata.org/entity/Q22809485	24600000	2019-01-01T00:00:00Z		apc		North Levantine Arabic
http://www.wikidata.org/entity/Q7913	24300000	2019-01-01T00:00:00Z	ro	ron	limba română	Romanian
http://www.wikidata.org/entity/Q33823	24131000	2019-01-01T00:00:00Z	ne	nep	नेपाली भाषा	Nepali
http://www.wikidata.org/entity/Q33454	24000000	2007-01-01T00:00:00Z	ff	ful	Fulfulde	Fula
http://www.wikidata.org/entity/Q7411	23100000	2019-01-01T00:00:00Z	nl	nld	Nederlands	Dutch
http://www.wikidata.org/entity/Q56592	22400000	2019-01-01T00:00:00Z		aec		Saʽidi Arabic
http://www.wikidata.org/entity/Q33475	22100000	2019-01-01T00:00:00Z		gan	贛語	Gan Chinese
http://www.wikidata.org/entity/Q29579	22000000	2007-01-01T00:00:00Z		awa	अवधी	Awadhi
http://www.wikidata.org/entity/Q36368	21000000	2007-01-01T00:00:00Z	ku	kur	zimanê kurdî	Kurdish
http://www.wikidata.org/entity/Q12642194	20900000	2019-01-01T00:00:00Z		pbu		Northern Pashto
http://www.wikidata.org/entity/Q33728	20700000	2019-01-01T00:00:00Z		mag	मगही	Magahi
http://www.wikidata.org/entity/Q33902	20009000			skr	سرائیکی	Saraiki
http://www.wikidata.org/entity/Q36217	20000000	2020-01-01T00:00:00Z	ln	lin	Lingála	Lingala
http://www.wikidata.org/entity/Q9301	19000000	2022-01-01T00:00:00Z	sh	hbs	srpskohrvatski jezik	Serbo-Croatian
http://www.wikidata.org/entity/Q7930	18138380	2010-01-01T00:00:00Z	mg	mlg	Fiteny malagasy	Malagasy
http://www.wikidata.org/entity/Q9205	16600000	2019-01-01T00:00:00Z	km	khm	ភាសាខ្មែរ	Khmer
http://www.wikidata.org/entity/Q33158	16300000	2019-01-01T00:00:00Z		hne		Chhattisgarhi
http://www.wikidata.org/entity/Q13275	16200000	2019-01-01T00:00:00Z	so	som	Af-Soomaali	Somali
http://www.wikidata.org/entity/Q9267	16000000	2007-01-01T00:00:00Z	tk	tuk	Türkmen dili	Turkmen
http://www.wikidata.org/entity/Q13216	16000000	2007-01-01T00:00:00Z	za	zha	Vahcuengh	Zhuang
http://www.wikidata.org/entity/Q33239	15900000	2019-01-01T00:00:00Z		ceb	Sinugboanon	Cebuano
http://www.wikidata.org/entity/Q56232	15700000	2019-01-01T00:00:00Z		acm	لهجه عراقيه	Mesopotamian Arabic
http://www.wikidata.org/entity/Q10179	15700000	2019-01-01T00:00:00Z	zu	zul	IsiZulu	Zulu
http://www.wikidata.org/entity/Q7838	15437390	2012-01-01T00:00:00Z	sw	swa	Kiswahili	Swahili
http://www.wikidata.org/entity/Q13267	15300000	2019-01-01T00:00:00Z	si	sin	සිංහල	Sinhala
http://www.wikidata.org/entity/Q29401	15300000	2019-01-01T00:00:00Z	as	asm	অসমীয়া ভাষা	Assamese
http://www.wikidata.org/entity/Q3449805	15000000	2021-01-01T00:00:00Z		azb		South Azerbaijani
http://www.wikidata.org/entity/Q36213	15000000	2007-01-01T00:00:00Z		mad	Bhâsa Madhurâ	Madurese
http://www.wikidata.org/entity/Q36094	15000000		kr	kau	Kanuri	Kanuri
http://www.wikidata.org/entity/Q36510	15000000		el	ell	νέα ελληνική γλώσσα	Modern Greek
http://www.wikidata.org/entity/Q33417	15000000			tts		Isan
http://www.wikidata.org/entity/Q36163	14600000	2019-01-01T00:00:00Z		kmr		Kurmanji
http://www.wikidata.org/entity/Q36129	14500000	2019-01-01T00:00:00Z		fuv		Nigerian Fulfulde
http://www.wikidata.org/entity/Q56608	14500000	2019-01-01T00:00:00Z		acw		Hijazi Arabic
http://www.wikidata.org/entity/Q29540	14100000	2019-01-01T00:00:00Z		bar	Boarisch	Bavarian
http://www.wikidata.org/entity/Q9260	14000000	2018-01-01T00:00:00Z	tg	tgk	забони тоҷикӣ	Tajik
http://www.wikidata.org/entity/Q56312	14000000	2007-01-01T00:00:00Z		mwr		Marwari
http://www.wikidata.org/entity/Q33410	14000000	2007-01-01T00:00:00Z		bgc		Haryanvi
http://www.wikidata.org/entity/Q2044560	13980000	2024-01-01T00:00:00Z		syl	ꠍꠤꠟꠐꠤ ꠝꠣꠔ	Sylheti
http://www.wikidata.org/entity/Q9252	13161980	2019-01-01T00:00:00Z	kk	kaz	қазақ тілі	Kazakh
http://www.wikidata.org/entity/Q33173	13000000	2019-01-01T00:00:00Z		ctg		Chittagonian
http://www.wikidata.org/entity/Q34327	13000000	2015-01-01T00:00:00Z	ts	tso	Xitsonga	Tsonga
http://www.wikidata.org/entity/Q9067	12600000	2019-01-01T00:00:00Z	hu	hun	magyar	Hungarian
http://www.wikidata.org/entity/Q33573	12100000	2019-01-01T00:00:00Z	rw	kin	Ikinyarwanda	Kinyarwanda
http://www.wikidata.org/entity/Q33273	12000000	2007-01-01T00:00:00Z	ny	nya	Chilankhulo cha Chichewa	Chewa
http://www.wikidata.org/entity/Q55633582	11600000	2019-01-01T00:00:00Z		ajp		South Levantine Arabic
http://www.wikidata.org/entity/Q56240	11600000	2019-01-01T00:00:00Z		aeb	Tounsi	Tunisian Arabic
http://www.wikidata.org/entity/Q56578	11400000	2019-01-01T00:00:00Z		ayn		Sanʽani Arabic
http://www.wikidata.org/entity/Q36457	11000000	2019-01-01T00:00:00Z		mnp		Northern Min
http://www.wikidata.org/entity/Q13218	11000000	2011-01-01T00:00:00Z	xh	xho	IsiXhosa	Xhosa
http://www.wikidata.org/entity/Q8641	11000000	2010-01-01T00:00:00Z	yi	yid	יידיש	Yiddish
http://www.wikidata.org/entity/Q28026	11000000	2007-01-01T00:00:00Z		aka		Akan
http://www.wikidata.org/entity/Q16112855	10900000	2019-01-01T00:00:00Z		pbt		Southern Pashto
http://www.wikidata.org/entity/Q33583	10800000	2019-01-01T00:00:00Z	rn	run	Ikirundi	Kirundi
http://www.wikidata.org/entity/Q9056	10700000	2019-01-01T00:00:00Z	cs	ces	čeština	Czech
http://www.wikidata.org/entity/Q56579	10500000	2019-01-01T00:00:00Z		acq		Taʽizzi-Adeni Arabic
http://www.wikidata.org/entity/Q13263	10400000	2019-01-01T00:00:00Z	ug	uig	ئۇيغۇر تىلى	Uyghur
http://www.wikidata.org/entity/Q36455	10300000	2019-01-01T00:00:00Z		cdo	Mìng-dĕ̤ng-ngṳ̄	Eastern Min
http://www.wikidata.org/entity/Q14196	10300000	2016-01-01T00:00:00Z	af	afr	Afrikaans	Afrikaans
http://www.wikidata.org/entity/Q33413	10000000	2003-01-01T00:00:00Z		mup		Malvi
http://www.wikidata.org/entity/Q131339	10000000			gsw	Alemannisch	Alemannic
http://www.wikidata.org/entity/Q178440	9600000	2011-01-01T00:00:00Z		prs		Dari
http://www.wikidata.org/entity/Q633359	9600000	2007-01-01T00:00:00Z		dhd		Dhundari
http://www.wikidata.org/entity/Q33491	9600000	2007-01-01T00:00:00Z	ht	hat	kreyòl ayisyen	Haitian Creole
http://www.wikidata.org/entity/Q9288	9303950	2019-01-01T00:00:00Z	he	heb	עברית	Hebrew
http://www.wikidata.org/entity/Q9027	9244250	2012-01-01T00:00:00Z	sv	swe	svenska	Swedish
http://www.wikidata.org/entity/Q3515311	9220610	2021-01-01T00:00:00Z		azj		North Azerbaijani
http://www.wikidata.org/entity/Q35936	9100000	2007-01-01T00:00:00Z		ilo	Ilokano	Ilocano
